initial energies / MeV,final energies / MeV,energy losses / MeV
110.0,105.658,8.92011477731593
111.99783995679914,105.658,7.06947731843573
113.99567991359827,105.658,11.859699499693619
115.9935198703974,105.658,10.576705967518123
117.99135982719655,105.658,16.058859298360886
119.98919978399567,105.658,14.465881870514437
121.98703974079481,105.658,16.808091325823867
123.98487969759395,105.658,25.13793736315442
125.9827196543931,105.658,20.479822538158487
127.98055961119222,105.658,22.81490324306168
129.97839956799135,105.658,31.78833154896965
131.9762395247905,105.658,26.45270374352006
133.97407948158963,105.658,28.63718655763256
135.97191943838877,105.658,31.57487272819064
137.9697593951879,105.658,33.11287940080983
139.96759935198705,105.658,34.45774123571529
141.9654393087862,105.658,38.54252982898528
143.9632792655853,105.658,39.62805165823083
145.96111922238444,105.658,91.54349381159525
147.95895917918358,105.658,42.301068041383246
149.95679913598272,105.658,49.03789529313494
151.95463909278186,113.99624374325862,37.958395349523244
153.952479049581,120.39705933902721,33.55541971055379
155.95031900638014,124.97458195692514,30.975737049455006
157.94815896317925,128.84320978593428,29.104949177244976
159.9459989199784,132.3131660477321,27.632832872246297
161.94383887677753,135.52283957494038,26.420999301837156
163.94167883357667,138.5477175781498,25.393961255426888
165.9395187903758,141.4340719757737,24.505446814602124
167.93735874717495,144.21254043621562,23.724818310959336
169.9351987039741,146.90455666126678,23.030642042707314
171.9330386607732,149.52574849911107,22.407290161662132
173.93087861757235,152.08788416850558,21.842994449066765
175.9287185743715,154.60005791503679,21.3286606593347
177.92655853117063,157.0694485765946,20.857109954576032
179.92439848796977,159.5018246332827,20.422573854687073
181.92223844476888,161.90189178015615,20.02034666461273
183.92007840156805,164.27353889939116,19.646539502176893
185.91791835836716,166.62001634087764,19.29790201748952
187.9157583151663,168.94406784036332,18.971690474802983
189.91359827196544,171.24802991276817,18.665568359197266
191.91143822876458,173.53390794322056,18.377530285544026
193.90927818556372,175.80343526978305,18.10584291578067
195.90711814236283,178.05811964454716,17.84899849781567
197.904958099162,180.29928018817847,17.60567791098353
199.9027980559611,182.52807708774657,17.374720968214547
201.90063801276025,184.74553568756434,17.155102325195912
203.8984779695594,186.95256619959696,16.945911769962436
205.89631792635853,189.1499799569637,16.74633796939483
207.89415788315767,191.33850291392278,16.555654969234894
209.8919978399568,193.51878693382312,16.373210906133664
211.88983779675596,195.69141928589127,16.198418510864684
213.88767775355507,197.85693068105985,16.030747072495217
215.8855177103542,200.01580210799668,15.86971560235753
217.88335766715335,202.16847067754932,15.714886989604025
219.8811976239525,204.3153346428261,15.5658629811264
221.87903758075163,206.45675773012556,15.422279850626069
223.87687753755074,208.5930728907257,15.283804646825047
225.8747174943499,210.72458556362636,15.150131930723546
227.87255745114902,212.85157652336292,15.020980927786098
229.87039740794816,214.9743043743098,14.896093033638351
231.8682373647473,217.09300774249854,14.775229622248759
233.86607732154644,219.20790720763688,14.658170113909563
235.86391727834558,221.31920701114308,14.544710267202504
237.8617572351447,223.42709657041328,14.43466066473141
239.85959719194383,225.53175182490142,14.327845367042414
241.85743714874297,227.63333643571625,14.22410071302673
243.85527710554211,229.73200285731903,14.123274248223083
245.85311706234125,231.82789329714203,14.025223765199229
247.8509570191404,233.92114057679694,13.929816442343451
249.84879697593954,236.0118689065933,13.836928069346243
251.84663693273865,238.10019458351942,13.746442349219222
253.8444768895378,240.18622662148903,13.65825026804876
255.84231684633693,242.27006732148828,13.572249524848644
257.8401568031361,244.3518127882971,13.488344014838987
259.8379967599352,246.43155339960305,13.406443360332162
261.8358367167343,248.50937423260405,13.326462484130275
263.8336766735335,250.58535545258422,13.248321220949265
265.8315166303326,252.6595726674014,13.17194396293121
267.82935658713177,254.73209725137272,13.097259335759048
269.8271965439309,256.8029966416061,13.024199902324767
271.82503650073,258.87233460952916,12.952701891200832
273.82287645752916,260.94017151000673,12.882704947522427
275.82071641432833,263.0065645102206,12.814151904107746
277.81855637112744,265.0715678002,12.746988570927442
279.81639632792655,267.13523278671056,12.681163541215994
281.81423628472567,269.197608272076,12.616628012649642
283.81207624152484,271.25874061921127,12.553335622313568
285.809916198324,273.318673904196,12.491242294128028
287.8077561551231,275.3774500573959,12.430306097727225
289.8055961119222,277.43510899420176,12.370487117720472
291.80343606872134,279.4916887362174,12.311747332503955
293.8012760255205,281.5472255237587,12.25405050176181
295.7991159823197,283.6017539203231,12.197362061996557
297.7969559391188,285.65530690977516,12.141649029343625
299.7947958959179,287.70791598676465,12.086879909153254
301.79263585271707,289.7596112409652,12.033024611751841
303.79047580951624,291.81042143562235,11.980054373893893
305.78831576631535,293.8603740808438,11.927941685471524
307.78615572311446,295.9094955020413,11.876660221073166
309.7839956799136,297.9578109039094,11.826184776004197
311.78183563671274,300.0053444302758,11.776491206436958
313.7796755935119,302.05211922011796,11.727556373393952
315.777515550311,304.0981574600475,11.67935809026352
317.77535550711013,306.1434804335241,11.631875073586059
319.77319546390925,308.18810856700253,11.585086896906716
321.7710354207084,310.23206147329614,11.538973947412273
323.7688753775076,312.27535799227786,11.493517385229723
325.7667153343067,314.31801622917715,11.448699105129549
327.7645552911058,316.3600535905789,11.404501700526907
329.762395247905,318.40148681833585,11.360908429569122
331.76023520470414,320.44233202149445,11.317903183209694
333.75807516150326,322.4826047063952,11.275470455108064
335.75591511830237,324.5223198050505,11.233595313251897
337.7537550751015,326.5614917019413,11.192263373160188
339.75159503190065,328.60013425928935,11.151460772611301
341.7494349886998,330.63826084095797,11.111174147741849
343.74727494549893,332.6758843350344,11.071390610464505
345.74511490229804,334.7130171751807,11.032097727117332
